order_item_id,order_id,product_id,quantity,price
203,142,568,4,9
204,363,923,1,10
205,257,677,3,16
206,394,487,1,3
207,418,732,2,5
208,408,566,4,13
209,8,615,3,5
210,56,702,4,19
211,66,348,4,3
212,175,764,5,19
213,401,905,3,16
214,250,173,5,11
215,264,859,2,19
216,104,216,5,17
217,49,461,5,3
218,109,27,5,6
219,61,773,4,6
220,466,86,3,12
221,176,588,1,11
222,281,95,3,9
223,103,754,3,10
224,469,73,4,14
225,15,166,2,1
226,303,500,2,11
227,139,886,4,19
228,272,929,3,19
229,231,187,4,14
230,64,896,3,13
231,446,241,2,19
232,140,803,3,12
233,102,354,2,8
234,184,948,2,16
235,479,47,3,16
236,427,443,4,17
237,221,544,4,10
238,38,992,5,9
239,63,347,2,4
240,287,408,2,4
241,259,858,3,12
242,117,560,3,19
243,405,603,2,6
244,310,163,4,7
245,210,712,3,3
246,396,669,2,13
247,406,633,3,14
248,313,612,4,13
249,130,840,4,15
250,313,70,2,4
251,127,941,1,14
252,240,157,4,15
253,76,63,2,14
254,248,699,1,3
255,191,520,5,12
256,91,136,4,2
257,136,216,4,15
258,121,828,3,12
259,401,360,1,4
260,398,616,5,10
261,223,571,4,17
262,106,654,4,15
263,90,403,4,15
264,481,928,2,9
265,331,279,3,19
266,320,194,5,8
267,391,921,4,2
268,407,1000,1,3
269,421,492,3,7
270,146,494,2,10
271,495,922,3,15
272,116,57,4,7
273,323,970,4,8
274,67,590,1,10
275,341,433,2,5
276,350,663,2,2
277,201,517,2,18
278,179,456,5,5
279,134,786,5,1
280,154,538,2,5
281,91,375,1,3
282,427,469,4,1
283,5,92,3,8
284,147,983,5,12
285,171,658,2,18
286,364,292,2,20
287,280,309,4,15
288,342,1000,3,17
289,50,349,4,14
290,21,587,1,9
291,142,343,5,3
292,208,610,1,17
293,315,462,4,8
294,350,607,2,17
295,122,524,1,11
296,46,813,3,13
297,493,662,4,12
298,459,697,3,1
299,23,808,5,9
300,320,984,2,10
301,453,747,2,20
302,6,853,2,13
303,193,566,4,11
304,130,900,1,10
305,195,445,1,10
306,479,374,2,5
307,222,731,2,5
308,374,177,3,10
309,213,631,4,7
310,359,17,3,15
311,384,855,1,13
312,58,553,4,3
313,278,622,4,3
314,22,323,2,20
315,226,403,5,8
316,367,711,4,19
317,242,193,3,4
318,365,196,5,15
319,408,489,4,3
320,450,509,5,11
321,120,482,2,20
322,394,225,4,5
323,336,429,5,11
324,394,78,1,2
325,193,994,3,16
326,37,631,4,7
327,326,986,1,12
328,391,817,5,17
329,368,619,3,13
330,302,556,3,2
331,187,481,3,13
332,430,789,1,19
333,85,816,3,9
334,33,171,5,10
335,312,480,4,9
336,468,471,1,18
337,174,236,5,6
338,416,892,5,2
339,278,82,2,1
340,262,660,4,16
341,439,881,4,13
342,192,104,2,5
343,362,243,4,19
344,301,155,3,4
345,167,570,4,5
346,4,390,2,8
347,468,166,5,3
348,317,110,2,13
349,493,801,3,14
350,58,289,3,12
351,94,262,3,15
352,350,727,1,12
353,359,595,3,17
354,187,520,2,8
355,478,709,5,3
356,498,592,2,16
357,160,851,3,10
358,12,120,2,6
359,16,969,1,4
360,367,629,5,7
361,178,264,3,2
362,408,95,2,6
363,115,186,3,5
364,59,543,1,13
365,417,350,3,4
366,285,980,2,8
367,270,44,1,4
368,239,429,5,5
369,303,343,3,6
370,46,461,3,20
371,406,262,4,18
372,178,776,5,17
373,201,976,1,2
374,108,723,4,18
375,429,262,4,6
376,246,344,4,12
377,367,7,1,15
378,421,945,4,19
379,160,726,5,10
380,107,786,2,2
381,450,867,2,18
382,144,409,3,14
383,449,873,2,2
384,354,398,1,4
385,380,155,4,8
386,29,637,5,19
387,465,581,2,17
388,454,323,4,14
389,111,63,3,9
390,309,783,3,10
391,331,803,4,5
392,415,536,3,7
393,153,770,2,17
394,63,595,2,11
395,185,479,2,5
396,46,704,1,7
397,325,449,4,17
398,427,941,2,7
399,159,193,5,5
400,183,654,4,5
401,100,849,5,19
402,175,724,3,6
403,96,503,3,11
404,85,373,4,7
405,20,676,3,5
406,276,508,1,18
407,404,993,1,10
408,211,30,1,10
409,308,368,1,2
410,282,177,3,11
411,133,583,4,9
412,98,353,2,2
413,257,79,2,18
414,42,90,1,9
415,460,521,3,2
416,166,427,4,8
417,224,463,4,6
418,195,580,2,3
419,55,872,1,2
420,428,774,4,7
421,482,914,4,5
422,82,803,3,10
423,22,318,4,10
424,108,813,4,4
425,100,397,1,17
426,89,316,2,7
427,211,28,2,2
428,344,125,3,12
429,219,740,5,8
430,115,30,1,11
431,467,979,2,11
432,222,335,2,13
433,128,967,1,9
434,106,368,4,18
435,435,168,4,13
436,51,843,4,12
437,266,739,3,3
438,172,191,1,5
439,331,826,1,7
440,160,371,4,4
441,328,688,2,11
442,21,46,4,17
443,90,64,1,15
444,394,866,1,17
445,369,939,4,18
446,155,506,3,12
447,433,17,3,14
448,276,209,3,6
449,209,657,2,6
450,40,590,5,19
451,52,58,4,5
452,51,902,3,17
453,152,596,4,10
454,234,286,5,3
455,459,313,4,2
456,312,203,2,3
457,451,793,5,2
458,125,331,2,5
459,377,10,3,11
460,236,854,3,13
461,233,548,2,19
462,324,873,2,10
463,431,862,3,12
464,269,988,5,18
465,354,62,4,10
466,349,306,5,16
467,473,175,3,11
468,33,307,1,16
469,37,386,2,4
470,140,71,5,18
471,273,757,1,18
472,69,722,4,10
473,452,14,1,17
474,318,67,3,5
475,342,885,4,6
476,439,123,1,2
477,235,329,1,3
478,103,395,5,6
479,380,711,4,15
480,474,806,3,18
481,294,163,4,15
482,96,193,3,7
483,132,858,2,9
484,179,522,1,11
485,466,921,5,10
486,93,540,5,18
487,80,208,3,14
488,300,589,3,15
489,42,636,4,3
490,335,178,1,3
491,56,166,3,2
492,69,237,5,2
493,331,593,4,10
494,2,713,1,13
495,189,414,5,14
496,497,788,4,7
497,439,955,3,8
498,468,291,2,9
499,246,98,5,11
500,98,612,4,9
